Year,Tonal_S,Pitch_SD,MIS,Onset_Density,TI_OD,ISO,PIC,RIC
1950,,,,,,,,
1951,,,,,,,,
1952,0.48553924520356956,0.8522928148466157,0.8386766711691578,0.06900390383673438,0.07510551488700949,0.23340875329258334,0.9863181465394458,0.6811591305245729
1953,0.6857577194169511,0.7884112226016915,1.0,0.027160220148099996,0.07332288915535504,0.3501673733252502,1.0,0.6018553271228221
1954,0.6792173314403998,0.7846558663442011,0.9530505307095918,0.0,0.0,0.38365636564477884,0.9765059996482717,0.7653324703998069
1955,0.7232490128405105,0.8245801534399941,0.8414187489390934,0.03412058927549594,0.020277924531602903,0.2898894416436415,0.8996398752729218,0.8832349967281351
1956,0.5222046250713757,0.7331076792448797,0.6992919548765621,0.16877215576706958,0.10248191268945218,0.35431171833463665,0.7794082774832751,0.8869153298374972
1957,0.35520676231201737,0.7360938248313806,0.6699508275246631,0.1942802187526152,0.1130295506155411,0.4460312674531347,0.7796264484320481,0.8662399738766206
1958,0.5000254968698039,0.6632921576980106,0.6248440252136874,0.14604155217775244,0.07623350909765625,0.29849089680906626,0.7404678109932503,1.0
1959,0.5180177406042168,0.6484233949181045,0.5984043244626127,0.1591559927614361,0.11087641557209793,0.21646216680750868,0.725349748241714,0.9323387933100202
1960,0.49859380810339904,0.8638644396056447,0.6764058616501962,0.1344889494329184,0.10276616471294005,0.2583263404785831,0.8163907647091451,0.9615930299099262
1961,0.7399785576885942,0.911119366664135,0.7662999326533697,0.07984607547542034,0.061918948703669915,0.29240357188652094,0.8700889484546059,0.9288005017985487
1962,0.9836779115197308,1.0,0.7155441114129087,0.05872521185401843,0.022911251712345922,0.27933716339387027,0.848484562725633,0.8905717517002044
1963,0.9725489468455576,0.9309886371303738,0.5753224644694271,0.09121492497089868,0.0521471621951294,0.30264450905721213,0.9067852508870384,0.914548059074499
1964,0.7291294386515741,0.7230967736398786,0.4863363152080326,0.16081501927678765,0.10791367965303356,0.4148073928458204,0.793330279668786,0.8433477258570655
1965,0.6710536179724584,0.3372356281017215,0.3731307267190261,0.24939377078090533,0.10952116813876124,0.4333519572430274,0.6474623456653498,0.6992466130366156
1966,0.5686077743743106,0.27588165230186407,0.2630712484487407,0.23961872018410327,0.10867497985330352,0.3367063074333299,0.6072029235246883,0.752927349440395
1967,0.5621907442019569,0.3152528175745429,0.33945267749420854,0.27467825941791685,0.10801860781248136,0.2843247296989735,0.6014085733346637,0.7558811661196654
1968,0.5156217918776255,0.3968765950105309,0.43929966379975166,0.26893689321385594,0.12633673720535882,0.20662628352280704,0.5773906632545024,0.8240233894467691
1969,0.761675633324789,0.5132943906049727,0.5356951936136098,0.23921937958993528,0.11584449952797357,0.1433974090055153,0.6852851478921438,0.8783623996969278
1970,0.8173636403213136,0.660249870260126,0.5124883489145962,0.23572139672636996,0.18070540683427375,0.06521765186525938,0.749575316804508,0.9432294762085681
1971,0.8358612656047893,0.7798346326355121,0.6380213430861232,0.22226391531401785,0.20326450561480006,0.0,0.7999060104726328,0.9703701297203329
1972,0.7976511074291454,0.7080743752421521,0.6169559224127613,0.22061002748667569,0.24961872583439615,0.10504977708979084,0.7654052187821746,0.8939251695469159
1973,0.5534526573181525,0.6707514562983332,0.5697583005467437,0.2336153505910239,0.2623079331540639,0.18739349732895463,0.7538361019970276,0.8090471196791146
1974,0.5856712180917434,0.698871130636719,0.6457061591416414,0.23246939742580824,0.24609648891067695,0.2625811551111187,0.6608931308828889,0.7551836262713344
1975,0.6679832631064905,0.6563127818933688,0.6613287429625272,0.2241711437263942,0.257096156858937,0.3407726351790631,0.6543624785925702,0.7495646646495271
1976,0.534365036483446,0.5108556063835582,0.4499176476098017,0.2974548290518635,0.2784083929206527,0.42309508650431193,0.5221951604910695,0.6773383361469758
1977,0.6007599608928509,0.430199648844881,0.5045897761029794,0.2911910022073521,0.23529435688553324,0.3560920996134792,0.4899891594213484,0.771569520570121
1978,0.8022310977051658,0.4357627028174939,0.5565260796001816,0.2637465520887844,0.18268852540153604,0.3336939217775633,0.4951793954884002,0.7749826032539906
1979,0.8669387938985668,0.41892183988354936,0.4730191254402421,0.23672353211087344,0.18005662547203036,0.2820559079524295,0.5629119817566804,0.8650920531422857
1980,0.7471347083029839,0.2861283526006519,0.42970797906567926,0.3150515392333583,0.2142432985992607,0.3414375292880251,0.47028819909426217,0.7729465975219748
1981,1.0,0.2923800352092249,0.49481457589759537,0.3219573272552156,0.17973695057139963,0.34771831434780914,0.5198611765885921,0.7634019146969545
1982,0.8668463006347626,0.3034213939634913,0.41070381202578177,0.33271516405489837,0.1878461197376792,0.38231301379275284,0.5522242603917713,0.6931830623799771
1983,0.7603821294606815,0.2506217268187474,0.37610757148741425,0.3915125676653615,0.25058791301800903,0.388460153510344,0.5306381869052718,0.6647435829513763
1984,0.6750714271003067,0.31061213231374835,0.49155945603165463,0.35744068135629825,0.27111173229450314,0.3267042774582665,0.5560841162050562,0.6893929678880509
1985,0.639721848296818,0.2644887923126689,0.43052693708802847,0.31660140562296396,0.2401984908789002,0.31893299023526084,0.5480665480439866,0.7102525523855512
1986,0.5844162639326103,0.30967655696963037,0.5407288388478284,0.3247474165392314,0.27117458305813824,0.33582874472817353,0.5429861478962414,0.7067018247776994
1987,0.5308532998850817,0.2734673286738976,0.49023391835525537,0.33861644877827,0.3224829682566276,0.30581180229507465,0.4937579905187311,0.7152347674711466
1988,0.6270957724770652,0.28439604685012526,0.4707684047479346,0.3243615723489006,0.34132017454554714,0.3777922152118871,0.4888112616229555,0.71383290794427
1989,0.4964982149924554,0.16338156693173914,0.31925416518245125,0.3631344559250264,0.3686212804380511,0.46530783214133237,0.4663435883994645,0.6432405576560098
1990,0.6070364668938417,0.24567575006310216,0.46200870672313077,0.33287293418435693,0.37034402901470337,0.5480033217464086,0.49338855152900735,0.6104363995082323
1991,0.5269341618758238,0.2408239231898582,0.4997082081202333,0.21526735078977755,0.34175166590151446,0.5258065579325317,0.5279658235208563,0.797721144654134
1992,0.6810928216351758,0.325753983511842,0.6147158406547792,0.1354152049602818,0.32230459818392304,0.5019953860325229,0.623494942351456,0.8154324837299352
1993,0.6755448648897188,0.38152565301382535,0.5430311379025289,0.14926639639300354,0.35016361860551226,0.5247473435550869,0.5836855266125938,0.7484549098313922
1994,0.7428003759162977,0.4258952982106609,0.5194110614176389,0.22612321303227428,0.4266500119640471,0.49435594251017795,0.526122236217018,0.6818814228051107
1995,0.661503154813525,0.44043295641555846,0.42825064331575335,0.23330241411494648,0.41808947849907685,0.36228896528889676,0.5837551908324474,0.7615320910088978
1996,0.6685814612172862,0.4515037616361602,0.3985118029689258,0.32606753147743245,0.510899007150483,0.4624908808483098,0.5336539210475487,0.4965297775187115
1997,0.6613084717927478,0.43520966261800925,0.2902764235636986,0.4122937587843424,0.5688693640568748,0.53918316350117,0.4586764421304846,0.4241844708477785
1998,0.5776805531074632,0.39072987256467434,0.37970849279753033,0.43635414690270846,0.5992669083565754,0.5601979454632041,0.4566671574584389,0.4453297150049207
1999,0.5535214572064072,0.38024225668440753,0.4388272774030825,0.4499896098669046,0.6172962327657318,0.588048690127637,0.40810189705946076,0.41253861371227457
2000,0.4891809345142578,0.3046992930464907,0.48244896734417125,0.5493612002136002,0.7036322553417723,0.6698423602347456,0.2918361550629155,0.2733015412409779
2001,0.26556740333823137,0.15801880291856696,0.3298666289282587,0.7251318599226659,0.8981135548172744,0.6782051073500692,0.1375190771998713,0.19439154609418524
2002,0.12232721485710761,0.1251999700026973,0.44709215883402464,0.7645647978522,0.8606525437933318,0.6630883307277459,0.10023045545657248,0.2441384530157422
2003,0.0,0.07513662711518823,0.3548010040308964,0.8403317088547726,0.9292376886090056,0.7066745889714228,0.08593473886084127,0.17234195404272667
2004,0.1983146632425554,0.1532836201616729,0.325780061259378,0.9030008488866654,1.0,0.6629441933199575,0.0830049456563997,0.17518162129259093
2005,0.2256298379787394,0.14714291726099596,0.28155528185031553,0.8695560578336387,0.9769915843096559,0.616236955540148,0.09572341394877243,0.20430271522341095
2006,0.3437860062894704,0.21369828177238795,0.3041897731582678,0.7606264218897076,0.7534307509527669,0.627337039409504,0.13474589350733734,0.2606042599876037
2007,0.41555364327726696,0.21648970090066574,0.17606907656483164,0.7847593269356842,0.7420180470582021,0.7411161047060486,0.14358612434611,0.1325467134258369
2008,0.5786265117335035,0.19913703666605498,0.23420456836324996,0.7034155553574531,0.5813254245426807,0.6882340072637363,0.13452934680994674,0.17824823879756121
2009,0.42326899915649335,0.08032985198145857,0.09338765731619221,0.6533281445215953,0.4318852616628103,0.7823548882502802,0.0854842610350664,0.13351121903833033
2010,0.5401332731823518,0.1960273551224025,0.11324867109805525,0.6398153608457212,0.3634751135718771,0.8896011099554278,0.07750989798637861,0.11375624460876045
2011,0.5293580646879433,0.15956703329641192,0.0,0.6959617535979311,0.3875522942452679,0.9166800235131995,0.06608119039161459,0.04164445465532044
2012,0.5300410136290586,0.16777776741902603,0.09961914433620897,0.646810936816837,0.3530020499919535,0.782342473421546,0.057472405448000266,0.1535974761615103
2013,0.5482195908746446,0.21395942485305283,0.00995054576818703,0.7305343742191804,0.4439608955312458,0.7919147873284963,0.0013366470114673126,0.14662783820107866
2014,0.5045941319012084,0.20595314326311526,0.1442228424690429,0.7746332947002352,0.5397777299166813,0.7847702734232338,0.03332132406655267,0.16125472219133893
2015,0.32762373419088686,0.13022468237173618,0.1186560679448555,0.8668811811587617,0.6519782413507912,0.8471065480996914,0.020957828295983572,0.10334035629283031
2016,0.3858031873111701,0.15488320288174898,0.22885321365572278,0.8294853269800426,0.725994805072787,0.8385976530569603,0.04473229922153513,0.12460312900546745
2017,0.35195872327930655,0.11617219737147874,0.19688141742872747,0.9405280739558955,0.8355444854334853,0.9863432213454357,0.0,0.00016570834053840965
2018,0.23684539728141873,0.13316214681546198,0.23490574715915363,0.941448738165035,0.7937507385874866,0.9409979291183695,0.06300497326708389,0.02986957799931226
2019,0.15688884986537513,0.13177496353788126,0.2864487336736441,0.9919374670224037,0.7851010407249449,1.0,0.04783581921830423,0.0
2020,0.030104440311052746,0.0,0.1880758630214499,1.0,0.7461989360992655,0.9531824999904261,0.016497715057164304,0.047694520475353296
2021,,,,,,,,
2022,,,,,,,,
